"name","gender","ID","reg","falculty","department","course","code","photo","date","Action"
"Romeo Mboya","Male",76882607,"X75/2789/2022","Falculty of Arts and Social Sciences","Economics and Development Studies","Bachelor of Economics and Statistics","X75","imageb.png","29-06-2023 13:999","<button id=""editreg_1"" type=""button"" class=""btn btn-default action-button"" style=""color: red;"" onclick=""Shiny.onInputChange( &quot;editreg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-file-pen"" role=""presentation"" aria-label=""file-pen icon""></i>
</button><button id=""deletereg_1"" type=""button"" class=""btn btn-default action-button"" onclick=""Shiny.onInputChange( &quot;deletereg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-trash"" role=""presentation"" aria-label=""trash icon""></i>
</button>"
"Rafael Otieno","Male",89320197,"X74/1480/2022","Falculty of Arts and Social Sciences","Economics and Development Studies","Bachelor of Economics","X74","imageb.png","29-06-2023 13:998","<button id=""editreg_2"" type=""button"" class=""btn btn-default action-button"" style=""color: red;"" onclick=""Shiny.onInputChange( &quot;editreg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-file-pen"" role=""presentation"" aria-label=""file-pen icon""></i>
</button><button id=""deletereg_2"" type=""button"" class=""btn btn-default action-button"" onclick=""Shiny.onInputChange( &quot;deletereg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-trash"" role=""presentation"" aria-label=""trash icon""></i>
</button>"
"Walter Kiptoo","Male",24067165,"X74/7387/2022","Falculty of Arts and Social Sciences","Economics and Development Studies","Bachelor of Economics","X74","imageb.png","29-06-2023 13:997","<button id=""editreg_3"" type=""button"" class=""btn btn-default action-button"" style=""color: red;"" onclick=""Shiny.onInputChange( &quot;editreg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-file-pen"" role=""presentation"" aria-label=""file-pen icon""></i>
</button><button id=""deletereg_3"" type=""button"" class=""btn btn-default action-button"" onclick=""Shiny.onInputChange( &quot;deletereg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-trash"" role=""presentation"" aria-label=""trash icon""></i>
</button>"
"Francisco Daniel","Male",44952281,"X75/3900/2022","Falculty of Arts and Social Sciences","Economics and Development Studies","Bachelor of Economics and Statistics","X75","imageb.png","29-06-2023 13:996","<button id=""editreg_4"" type=""button"" class=""btn btn-default action-button"" style=""color: red;"" onclick=""Shiny.onInputChange( &quot;editreg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-file-pen"" role=""presentation"" aria-label=""file-pen icon""></i>
</button><button id=""deletereg_4"" type=""button"" class=""btn btn-default action-button"" onclick=""Shiny.onInputChange( &quot;deletereg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-trash"" role=""presentation"" aria-label=""trash icon""></i>
</button>"
"Cindy Mwathi","Female",98533297,"X75/6382/2022","Falculty of Arts and Social Sciences","Economics and Development Studies","Bachelor of Economics and Statistics","X75","imageg.png","29-06-2023 13:995","<button id=""editreg_5"" type=""button"" class=""btn btn-default action-button"" style=""color: red;"" onclick=""Shiny.onInputChange( &quot;editreg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-file-pen"" role=""presentation"" aria-label=""file-pen icon""></i>
</button><button id=""deletereg_5"" type=""button"" class=""btn btn-default action-button"" onclick=""Shiny.onInputChange( &quot;deletereg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-trash"" role=""presentation"" aria-label=""trash icon""></i>
</button>"
"Araceli Mwirigi","Male",88484062,"X74/3445/2022","Falculty of Arts and Social Sciences","Economics and Development Studies","Bachelor of Economics","X74","imageb.png","29-06-2023 13:994","<button id=""editreg_6"" type=""button"" class=""btn btn-default action-button"" style=""color: red;"" onclick=""Shiny.onInputChange( &quot;editreg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-file-pen"" role=""presentation"" aria-label=""file-pen icon""></i>
</button><button id=""deletereg_6"" type=""button"" class=""btn btn-default action-button"" onclick=""Shiny.onInputChange( &quot;deletereg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-trash"" role=""presentation"" aria-label=""trash icon""></i>
</button>"
"Vivian Ouko","Female",79319090,"X75/2901/2022","Falculty of Arts and Social Sciences","Economics and Development Studies","Bachelor of Economics and Statistics","X75","imageg.png","29-06-2023 13:993","<button id=""editreg_7"" type=""button"" class=""btn btn-default action-button"" style=""color: red;"" onclick=""Shiny.onInputChange( &quot;editreg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-file-pen"" role=""presentation"" aria-label=""file-pen icon""></i>
</button><button id=""deletereg_7"" type=""button"" class=""btn btn-default action-button"" onclick=""Shiny.onInputChange( &quot;deletereg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-trash"" role=""presentation"" aria-label=""trash icon""></i>
</button>"
"Belen Kitheka","Male",91900042,"X75/5691/2022","Falculty of Arts and Social Sciences","Economics and Development Studies","Bachelor of Economics and Statistics","X75","imageb.png","29-06-2023 13:992","<button id=""editreg_8"" type=""button"" class=""btn btn-default action-button"" style=""color: red;"" onclick=""Shiny.onInputChange( &quot;editreg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-file-pen"" role=""presentation"" aria-label=""file-pen icon""></i>
</button><button id=""deletereg_8"" type=""button"" class=""btn btn-default action-button"" onclick=""Shiny.onInputChange( &quot;deletereg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-trash"" role=""presentation"" aria-label=""trash icon""></i>
</button>"
"Heidi Kanana","Male",11071598,"X74/6665/2022","Falculty of Arts and Social Sciences","Economics and Development Studies","Bachelor of Economics","X74","imageb.png","29-06-2023 13:991","<button id=""editreg_9"" type=""button"" class=""btn btn-default action-button"" style=""color: red;"" onclick=""Shiny.onInputChange( &quot;editreg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-file-pen"" role=""presentation"" aria-label=""file-pen icon""></i>
</button><button id=""deletereg_9"" type=""button"" class=""btn btn-default action-button"" onclick=""Shiny.onInputChange( &quot;deletereg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-trash"" role=""presentation"" aria-label=""trash icon""></i>
</button>"
"Madelyn Wekesa","Female",47128710,"X74/7747/2022","Falculty of Arts and Social Sciences","Economics and Development Studies","Bachelor of Economics","X74","imageg.png","29-06-2023 13:990","<button id=""editreg_10"" type=""button"" class=""btn btn-default action-button"" style=""color: red;"" onclick=""Shiny.onInputChange( &quot;editreg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-file-pen"" role=""presentation"" aria-label=""file-pen icon""></i>
</button><button id=""deletereg_10"" type=""button"" class=""btn btn-default action-button"" onclick=""Shiny.onInputChange( &quot;deletereg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-trash"" role=""presentation"" aria-label=""trash icon""></i>
</button>"
"Leonardo Ondiek","Male",68339163,"X75/1918/2022","Falculty of Arts and Social Sciences","Economics and Development Studies","Bachelor of Economics and Statistics","X75","imageb.png","29-06-2023 13:99","<button id=""editreg_11"" type=""button"" class=""btn btn-default action-button"" style=""color: red;"" onclick=""Shiny.onInputChange( &quot;editreg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-file-pen"" role=""presentation"" aria-label=""file-pen icon""></i>
</button><button id=""deletereg_11"" type=""button"" class=""btn btn-default action-button"" onclick=""Shiny.onInputChange( &quot;deletereg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-trash"" role=""presentation"" aria-label=""trash icon""></i>
</button>"
"Charles Jepkoech","Male",14513884,"X74/7296/2022","Falculty of Arts and Social Sciences","Economics and Development Studies","Bachelor of Economics","X74","imageb.png","29-06-2023 13:989","<button id=""editreg_12"" type=""button"" class=""btn btn-default action-button"" style=""color: red;"" onclick=""Shiny.onInputChange( &quot;editreg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-file-pen"" role=""presentation"" aria-label=""file-pen icon""></i>
</button><button id=""deletereg_12"" type=""button"" class=""btn btn-default action-button"" onclick=""Shiny.onInputChange( &quot;deletereg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-trash"" role=""presentation"" aria-label=""trash icon""></i>
</button>"
"Gisselle Dahir","Male",73062286,"X74/5044/2022","Falculty of Arts and Social Sciences","Economics and Development Studies","Bachelor of Economics","X74","imageb.png","29-06-2023 13:988","<button id=""editreg_13"" type=""button"" class=""btn btn-default action-button"" style=""color: red;"" onclick=""Shiny.onInputChange( &quot;editreg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-file-pen"" role=""presentation"" aria-label=""file-pen icon""></i>
</button><button id=""deletereg_13"" type=""button"" class=""btn btn-default action-button"" onclick=""Shiny.onInputChange( &quot;deletereg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-trash"" role=""presentation"" aria-label=""trash icon""></i>
</button>"
"Kael Mwamburi","Male",52470492,"X75/7315/2022","Falculty of Arts and Social Sciences","Economics and Development Studies","Bachelor of Economics and Statistics","X75","imageb.png","29-06-2023 13:987","<button id=""editreg_14"" type=""button"" class=""btn btn-default action-button"" style=""color: red;"" onclick=""Shiny.onInputChange( &quot;editreg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-file-pen"" role=""presentation"" aria-label=""file-pen icon""></i>
</button><button id=""deletereg_14"" type=""button"" class=""btn btn-default action-button"" onclick=""Shiny.onInputChange( &quot;deletereg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-trash"" role=""presentation"" aria-label=""trash icon""></i>
</button>"
"Waylon Mathenge","Male",39243122,"X75/6737/2022","Falculty of Arts and Social Sciences","Economics and Development Studies","Bachelor of Economics and Statistics","X75","imageb.png","29-06-2023 13:986","<button id=""editreg_15"" type=""button"" class=""btn btn-default action-button"" style=""color: red;"" onclick=""Shiny.onInputChange( &quot;editreg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-file-pen"" role=""presentation"" aria-label=""file-pen icon""></i>
</button><button id=""deletereg_15"" type=""button"" class=""btn btn-default action-button"" onclick=""Shiny.onInputChange( &quot;deletereg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-trash"" role=""presentation"" aria-label=""trash icon""></i>
</button>"
"Landin Benson","Male",66417713,"X74/5890/2022","Falculty of Arts and Social Sciences","Economics and Development Studies","Bachelor of Economics","X74","imageb.png","29-06-2023 13:985","<button id=""editreg_16"" type=""button"" class=""btn btn-default action-button"" style=""color: red;"" onclick=""Shiny.onInputChange( &quot;editreg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-file-pen"" role=""presentation"" aria-label=""file-pen icon""></i>
</button><button id=""deletereg_16"" type=""button"" class=""btn btn-default action-button"" onclick=""Shiny.onInputChange( &quot;deletereg_button&quot; , this.id, {priority: &quot;event&quot;})"">
  <i class=""fas fa-trash"" role=""presentation"" aria-label=""trash icon""></i>
</button>"
